reviewer,review
Outdoor Enthusiast,"As a parent of two children under the age of six, watching them while preparing camp and food can be difficult. First, I had purchased a slackline kit to set up a rudimentary zipline earlier this year and it was a BLAST for all the children. They had a LOT of fun despite the 100F+ heat. All we had to do was ensure they were hydrated. Next came this rocket launching kit. Kept some of the kids busy for a few hours too as long as they stood in line and competed with one another how far they could power the rockets. Setup was simple: hook up the pump and hose, adjust the launcher angle, and let the kids go at it. They jump onto the pump, rocket launches, we keep track of where it landed, then make them go retrieve to stand back in line for their turn. Best part: they fell asleep quickly at night due to the exhaustion. Win-Win for parents and kids."
Outdoor Enthusiast,"As expected, turns black cup into a hero-esque, white color scheme with heat and revealing the World's best Super Dad. Holds and feels like a normal cup otherwise."
Ronny Acosta,"As I'm writing this review, I'm currently wearing this nightgown. Since getting this, it has been my go to nightgown because of how comfortable it is and great during these hot nights. It still gets pretty hot, even at night and this nightgown is very breathable. I ordered this in a XXL which is the same size of tops that I wear and this fits with room. I wasn't wanting something tight on me and this is perfect. The fabric is completely soft and feels great on. When it comes to washing, this has been worn a lot and even with all the washing and drying, this nightgown still looks new and has not started falling apart like some nightgowns that I own. The sleeves are a 3/4 sleeve and if needed, I'm able to pull them up if I need to. I would recommend people getting their normal size, unless you are wanting something a little tighter than I suggest going down a size. I stand about 5'4"" and this hits right at the bottom of my knees. So comfortable to wear and can see myself still wearing this during the winter months."
Ronny Acosta,"As long as my kids get all the toys on the part that lays down, when it comes to cleaning up, this bag makes it so much easier. Even with the mess that my kids usually make with playing with their toys, if they end up playing with them on the mat, it just makes it that much easier to clean up. However, rather than just dumping toys inside of this bag, the mat helps keep the toys inside of this storage bag. The best part about this bag is that even if my kids knock this bag over, no toys spill out all over the place. The quality of the material that this bag is made of is a lot stronger than I thought it was. Even with some of their toys that do have some sharp edges and are pointy, nothing has penetrated through the mat or bag. This bag can hold quite a bit of toys, but that also depends on the sizes of them. Not only makes storing a lot easier but more importantly, cleaning them up too."
Outdoor Enthusiast,"As you probably already know, the bee population has been on a steep decline. For a backyard fruit orchard, this is sad news. Planting flowers helps encourage bees to visit, and indeed they did. We have quite a lot more fruit growing now than we did in the past, two years. Sprinkle the seeds as directed and keep the dirt moist. Saw some seedlings grow in as little as two days. Over a period of the past 3 weeks or so, we have started seeing some flowers bloom, though we don't know what all of them are. The package describes that different flowers will grow over time, some of which are annuals and others are perennials (they'll keep growing every year). Great! That will hopefully encourage bees to keep visiting throughout the year to help pollinate fruit trees that are ready at different times throughout the seasons. Additionally, the flowers give a nice look to the garden."
Outdoor Enthusiast,"As you probably already know, the bee population has been on a steep decline. For a backyard fruit orchard, this is sad news. Planting flowers helps encourage bees to visit, and indeed they did. We have quite a lot more fruit growing now than we did in the past, two years. Sprinkle the seeds as directed and keep the dirt moist. Saw some seedlings grow in as little as two days. Over a period of the past 3 weeks or so, we have started seeing some flowers bloom, though we don't know what all of them are. The package describes that different flowers will grow over time, some of which are annuals and others are perennials (they'll keep growing every year). Great! That will hopefully encourage bees to keep visiting throughout the year to help pollinate fruit trees that are ready at different times throughout the seasons. Additionally, the flowers give a nice look to the garden."
Ronny Acosta,"At first I didn't think this was going to work for my desk but it really does work great. With the seasons changing, my allergies have been bothering me a lot more than normal and this humidifier has been helping me. While I do have a small/decent sized office, this humidifier is perfect for me. Filling this is really easy to do but I do fill this with filtered water rather than tap. When it comes to using, I have noticed a difference not just in my office but with my breathing too. Normally my nose is itchy, dry and really bothering me but since using this, while I'll still occasionally sneeze, my nose doesn't feel so dry inside anymore. The bonus for me with this humidifier is there is no watery mess or leaking with this. The mist that comes out isn't too fine but not heavy enough that is makes a mess on my desk or area. Hardly takes up any space and perfect for my office."
Ronny Acosta,"At first I was afraid taking this outside as I thought the kids might lose it, but it is safe to take outside. As for in the house use, we found that this is also safe for in house as if it does hit the walls or ceiling, it doesn't do any damage. However, with that being said, do make sure that ceiling fans are turned off before using inside the room. When it comes to using, my kids and I are able to either have this follow our hands or we can use it similar to a frisbee and toss it to each other. This does glide through the air pretty good but the only downside is the longest we've been able to play with this was almost 15 minutes but it does charge fairly fast. When it comes playing, you can either play with this with others or by yourself because this also acts as a boomerang too. Really a lot of fun to use and great that it doesn't damage or leave marks on our walls or ceiling."
Ronny Acosta,"At first I was completely skeptical about this working but to my surprise it really does. We were having issues with some to the electrical work that we had done and found that a lot of the wiring was not only done incorrectly but were huge fire hazards. What was really convenient about this reader is I didn't have to tear down my walls in order for this reader to work either. This reader does come with batteries so it was ready to use right out of the box. I tested this on my phone and it automatically read the volts that was being emitted from my phone. I then tested this on a bluetooth speaker and once again, it came up once again. That is when I tried this on my wall and automatically, the volts started going up higher than what they should be. Even with using this almost all day, this not once killed the batteries that it came with so it doesn't waste battery life. Really easy to hold and is light weight. But more importantly, this really does work."
Ronny Acosta,"At first I was looking for a necklace with an initial until I saw the horseshoe. I ended up buying this hoping it would arrive better in the picture and it did not disappoint. The chain itself is really comfortable to wear and really easy to put on. Whether I have fake or real nails on, I'm able to still put on the clasp even with it being kind of small and dainty. The chain does have the .925 sterling silver stamp on it. The chain doesn't get knotted or caught up in my hair like some chains have. The charm on this necklace looks so much better in person than what it does in the picture. The inlay on this has a similar look like turquoise and actually looks like a horseshoe. No matter how much I wear this out, I have not had this necklace discolor my skin or tarnish. Absolutely love the look of this necklace and the quality."
Ronny Acosta,"At first when I read that this only goes 10 mph, I didn't think much of it. However, when I'm on this running, that 10 mph is really fast. The fastest I've gone on this is about 7 and I feel as though I have to watch myself so I don't fall. When it comes to saving space, this treadmill really does help save on space. The track part folds up and even with it being at an angle, it saves a lot more space if I were to leave it laying down. Moving this up against my wall is really easy to do, but I have tile floors that this easily moves across when I try to move it. There is a safety device on this that even if you do fall, once that magnet is removed from the display area, this treadmill will slow down really fast. There are several different options when it comes to using this treadmill. I have done it where I choose the speed and incline, run with no incline, walk, light jog or use the options that are already programed into the treadmill. When you choose one of the programs, the treadmill will automatically speed up, slow down go up and down on it's own. While there are a total of 12, I have only done 3 of them. I have now owned and used this treadmill for about 2 months now. Not only is it going strong but even with several people in my family who have used it, this thing is still working like it did the first day we set it up. The other security feature I love about this treadmill is it will not work unless the main power switch on the bottom is turned on. If that is turned on and the magnet clip is on the display, I'm able to turn this on and start using immediately. Even with the main power switch on, if that magnet clip is not on the display, this treadmill will turn on but the track will not move. Love the safety features and how much space it save. Really easy to use and I'm still able to hold my drink in the holder without it falling over or me falling just to get it."
Ronny Acosta,"At first when I tried using this, I thought it was broken and was going to return it. However, it wasn't the dryer but a plug inside of my house that didn't work anymore and needed to be changed out. The dryer itself works great and love that it comes with so many attachments. While I still haven't used all of them, I have owned this for over 3 months now, but the ones I have used work great. What I love about this dryer is that it doesn't leave my hair looking dry, frizzy or flat. I will use this to dry my hair, press the button and twist off the dryer attachment and then change it out for whichever attachment I am needing. Once the attachment is locked in place, none of them have come loose or even came off while I was using it. My favorite have been the curling ones because they really to give me a more bouncy curl and do not fry my ends. Really easy to use and have taken this on many trips."
Ronny Acosta,"At first when this came in, I wasn't sure how these lights were going to look. Just because of the paint that was on them. However, once I added these to the rest of my garland and other decorations, it actually looks like cracked and kind of spooky skulls. Once the lights are on, that is when the lights kind of come to life. During the day, they look like just part of my garland, as the cords allowed me to wrap the garland within the cord itself. These lights are really easy to maneuver and the skulls are easy to adjust. These do require batteries but found that these don't drain the batteries at all. The lights themselves, once they're on, they don't heat up and don't melt my garland. Love that these don't require a plug as they can be used anywhere, plus they don't waste batteries. Great quality lights and the paint doesn't chip off either."
Ronny Acosta,"Before my desk was cluttered as the cups that I had to hold everything were overfilled and would fall over easily. With this desk organizer, everything that I want and need is all in one spot. Rather than having a holder for my paper clips, a holder for pens, losing my stapler and paperwork going from one side to under my desk, this organizer helps to keep everything in one spot. What was really nice is this actually came with paperclips. The drawer comes out which has not only made it convenient to store my paperclips but I no longer spill them everywhere. I'm even able to keep my stapler in one spot without losing it. Even my tape dispenser fits on top of where the paperclips go. This has not only cleared up space on my desk, but I no longer misplace or spill things."
Outdoor Enthusiast,"C is for Cookie, that's good enough for me! C is for Cookie, that's good enough to eat! (Sing along with Cookie Monster!) These cookies are great! They come in a solid, metallic box and were still fresh when we opened it. The Zebra one is my personal favorite among the flavors. These taste good, but they are a bit on the sweet side (as most cookies are). Maybe not as good as homemade, but very tasty. (This is my HONEST opinion. I was not paid nor compensated in any way for my review.)"
Ronny Acosta,"Compared to my last lunch bag, this lunch bag has so much more room. I'm actually able to pack food inside of this bag without anything getting smashed. Even when I have a can of soda, bag of chips, cookies and a sandwich, not only is there more than enough room but nothing is broken and I actually have a non-smashed sandwich. When it comes to keeping my food cold, it really does keep my lunch cold and everything stays cold. I have a small ice pack that I usually have in my lunch bag and even by the time I get off of work, the ice pack is still cold. What I didn't think I would care is the bottom pegs. This not only helps protect the bottom of my lunch bag but the bottom has a protective lining on the outside that helps prevent anything from getting inside of my bag. I'm even able to carry a few extra things on the outside without having to take up space on the inside. Love this lunch bag and can now actually enjoy a cold lunch when I'm not able to put it in the fridge at work."
Outdoor Enthusiast,"Compared to some of the fire starter kits I have (ferro + magnesium), this one works just as well but with some extras built in. It is waterproof (as are all of them), and has a nice, solid grip. Prime the ferro rod a bit, and each strike produced a good amount of spark. Be sure to shave the magnesium as finely as possible for a good spark. The bellow helps concentrate your breath onto a smaller area to help stoke fire from a safe distance and from near its center. The striker has measurements built-in, but I wish they were in miles instead. It serves a multi purpose, including as a bottle opener (not that it would be particularly useful in a survival situation, but some need their beer to survive!), mini screwdriver, and whatever your creativity can think of. Be sure to practice your fire-making skills before you put this away in your Bug Out bag. Nothing worse than when you're hungry, in an emergency situation, and not knowing how to make your fire because you never practiced."
Outdoor Enthusiast,"Crushes garlic through with ease, adding some minced flavor to your dishes. Cleanup can be a bit of a pain, however, and so be sure you have a spray available to blast through the holes."
Outdoor Enthusiast,"Depending on your handlebar, installation can be easy or time consuming. The easiest would be if your handlebar already has a way to screw on the mirrors. Done, good to go. The harder part is if the rubber handles themselves cannot be screwed onto -- this will then require finesse and patience to place the mirrors through the handles' rubber so they can stay on securely. It's not an impossible task, but be aware that some installations may be more time consuming than others. Once in place, the mirrors can be rotated to the desired angles for an ""objects are closer than they appear"" type of rear view."
Ronny Acosta,"Even after using this ball for almost 2 months, this ball is still going strong. My last one didn't make it past 3 weeks but no matter who uses this and for however stretches get used for this ball, it's still holding strong. Even after my dog attempting to take this outside through the small doggy door, there was no leaking or holes created. When using this, I was able to use a plug in pump but if someone does use one, make sure to watch carefully so it doesn't become overfilled. I haven't sat on this but I have been able to put both of my feet on this to help with planking and doing pushups. While the ball will bounce and hold strong, I did find that if the floor is wet, it will slip. However, I do have tile floors and found that it will only slip when the floor is wet. Other than that, no sliding or slipping. Great quality and really does help when it comes to working out."
Ronny Acosta,"Even with the sun beating on these decorations, they are not only still brightly colored but still standing tall in my front yard. They came with plastic sticks that I was able to easily insert into each cutout. I did have to water my yard a bit extra to get them to go in because the yard was a little too dry but once the ground was moist enough, I was able to stick the stakes inside into the ground. They stand perfectly tall and have not once started to lean or break. I love that they are not too big and not too small. After placing these in the ground, I did walk across the street and these can be seen from across the street. You can actually see what each cutout is. These are fully waterproof as my sprinklers do hit these every time they come on. No matter how much water hits these cutouts and the sun, these still look great."
Ronny Acosta,"Every year I go with a theme for my tree and this year I chose silver. However, I have a little one in the house now and what I love about these ornaments is that they're plastic. Plus, I did have to downsize my tree and with the amount that I got, there was more than enough to decorate my whole tree. The glitter ones really do help give my plain tree that sparkle that I was looking for. The matte ones are perfectly matte and the shiny have a design in them so they don't look so plain. These did come with strings attached to them, however, I was able to remove and put my own strings/ribbon on them. When using the glitter ones, they do shed a bit, but I was able to spray and seal them which helped stopped the glitter from getting everywhere. Other than that, these ornaments are perfect and love that even if you drop them, they don't shatter or cave in."
Ronny Acosta,"First off, this recliner was delivered in one box but the top and bottom where not attached. After removing both sections, what I noticed is that these are packaged so well that they even covered each section with a pretty thick bag that prevents any sort of damage while shipping. The other thing I noticed about this recliner, is that the top actually zips to the bottom. I've ordered other chairs before and none of them have ever had a zipper that ensures the top and bottom pieces do not come apart. Putting this together was really easy but I do recommend reclining the top part of the chair in order to get to the zipper, it's a lot easier. When it comes to the recliner itself, it has a really great slick and modern look to it. While it kind of looks bulky, it really isn't. It is full and very well cushioned, but it's not overly done. The legs on this recliner are very sturdy and fully attached to this recliner. I love that the bottom part of the leather isn't rubbing against my floors either. The recliner is really comfortable to sit in and really has an upright position which I like. If I want to just recline my feet, I'm able to easily do so. If I want to fully recline, I just push the back more and I'm in a full recline. I have fallen asleep many times in this recliner because of how comfortable this recliner is. The one thing I was really surprised about this recliner is even if I'm just sitting upright, the cushions in the back actually give me full lumbar and neck support. Not only does this look great in my living room, especially how modern it looks but more importantly how comfortable this recliner is. Highly recommend and the stitching on this recliner does not come loose either with the constant use this chair gets."
Outdoor Enthusiast,"First things first: this pad requires to be heated in a microwave. And typical for these types of pads, the warmth only stays temporarily for about 20-30 minutes. That gives you enough to relax your aching muscles a bit -- and it felt really good on my lower back -- but if you wanted more, you would have to head back to the microwave and do it all again. So, if you desire more, you may want to look into an electrical, heated blanket/pad instead. Or as was in my case, I was looking for something convenient to take camping to keep my kid warm with during the colder evenings. This product would not be it. The electric blanket would also not be suitable even though I have battery power stations available, but that would be a waste of electricity. If you want to have warmth that lasts for HOURS, the hot water bottle still is the best method, especially if it is insulated. For instance, I took one car camping (boondocking) in late November last year where temperatures dipped to 38F by the time we went to sleep in our own cars, and the morning was 27F! The hot water bottle actually was still WARM. So, it really depends on what you are looking for. A microwaveable heating pad is good, but only when you are home. I have and recommend the Peter Pan 100oz hot water bottle, in case you were wondering."
Ronny Acosta,"First, I love that I'm still able to use our old weight bench with these weights. When we have this as a long bar, we're able to actually rest these weights on it. This also makes it so much easier to change the weight too. Next, the padding on this bar not only protects our hands but also ensures that even with sweaty hands, we don't drop the weights. I don't like using gloves and found that the padding not only doesn't cut up my hand or create blisters but even when my hands are sweaty, I don't feel as though I'm going to drop it either. The weights themselves are really heavy duty and easy to hold. Not only are these great for working out but after my shoulder injury, they have been a really great help when it comes to physical therapy at home. I love that I don't have to use the bar when I don't need to and they're still light enough that I don't hurt myself all over again. When it comes to switching out the weights, it's not only easy to do but even switching from a long to short bar is just as simple. Love that even when I'm using this, they don't come unscrewed either."
Outdoor Enthusiast,"First, I love the color. It is bright and visible -- important for when you are out on the water and boats coming by. Obviously, life vests are the most important, but having other visible items with you adds to it. I own both this dedicated kayak paddle and the company's SUP/Kayak convertible. Unlike the convertible one, this is specifically made for kayaking, and as such feels much more comfortable to grip without that pesky locking mechanism bump found with the other. It also is designed squarely for better kayak efficiency. Whenever I know that I will be purely kayaking with my iSUP (and seat attachment), I would bring this paddle. If I wanted to be more recreational and switch between SUP or kayak, I'd bring the convertible. I purchased some D-Ring clips to attach the paddle to the side of my iSUP for added convenience. That way I could actually bring two paddles with me."
Outdoor Enthusiast,"First, I'd like to share that the bottle, despite packaged seemingly well in bubble wrap, arrived with the cap dented that stopped the bottle from being sealed. Juices leaked out and that caused us concerns about whether it was still safe to consume the content. It was shipped by Amazon, and Amazon unfortunately did not provide the option to return it for a replacement unless I spoke to a human. I reached out to the seller instead, and right away a new bottle was sent out with even better wrapping. Second, how did this taste? Beet-based ketchup with no tomatoes? I was surprised... VERY surprised. It tasted VERY close to ketchup. Less sugar, less salt, and ingredients you recognize. My son and mother-in-law agreed. We all actually liked it a lot. Customer service was great, ""ketchup"" was tasty and close to tomato-based ones, and healthier ingredients. What's there not to like? Well, price. Hopefully, this company can scale it out more and get the price lowered with further mass production. I think that this company has a hit if they can out market Heinz."
Ronny Acosta,"First, these fit inside of my Toyota Corolla as my headrests are detachable. I was going to use these in my other car but realized that my headrests are fully attached. However, the great thing about these is where I park at work, the inside of my car is hit with sunlight all day until I leave. Even with the daily sunlight, these seat covers have not cracked, peeled or chipped away. These were really easy to install onto my seats too. No matter how many times I get in and get out of my car, these covers are still attached onto my seats. These really don't move or slide around on my seats either. What I didn't think these seats were going to offer is a little padding that actually helps since my seats are getting a little worn. Really comfortable seat covers and great quality of material too."
Ronny Acosta,"First, this did take a bit to install this as I had to adjust it a few times in order to get the view and angle I was wanting and needing. Once it was installed, I was able to connect everything which didn't take that long. The longest for me was figuring out where the best place to install this on my trailer. The other thing I noticed is that even though the ""visor"" on the backup camera is small, it actually does block out the sunlight from glaring in this camera and allows me to always backup into our camping spot without arguing with anyone. The picture quality on the screen is really clear. The one thing that has helped out immensely are the lines that show up, especially when I'm trying to fit into a tight spot. Since installing this camera, I have not had any issues with going over any barriers. The only complaint that I have with this backup camera is I wish it came with a screen protector for the screen but I was able to buy one for a tablet and just trim it to fit on this. Really easy to install and has come in handy more times than I can count."
Ronny Acosta,"First, this shirt is true to size. I wear a size XXL in my shirts and ordered a XXL and it fits like my other XXL shirts. The shirt itself is breathable and really comfortable to wear. There is some stretch to this shirt which is great because I am on the busty side. This not only fits all over but even my chest without being see through. I thought for sure since I ordered black there was going to be a possibility of fading but after a month, no fading, no shrinking and no falling apart. I have paired this shirt with a variety of shorts and even pants. No matter what I wear this shirt with, it looks great. I'm even able to dress it up if need be. Really a comfortable shirt to wear and love that when I raise my hands up, it doesn't come up and show my stomach. Great quality of fabric and love how it feels."
Ronny Acosta,"First, this tent is really easy to setup. Once the tent itself is setup, this tent is super sturdy. Even with some wind blowing, this thing doesn't really move, but the stakes that comes with this tent really help with that. When it comes to room and space, I can only comment about 2 people. When it comes to space, it is more than room for 2 people to fit inside of this tent. We not only had our inflatable mattress pad, sleeping bags and duffle bag with clothes and shoes but we did have our lab in the tent and there was still space left over. The weather was cold at night but somewhat warm during the day and when this tent is open with the net closed, it really does allow a good breeze to come in and help cool inside. However, at night, we did stay nice and warm throughout. We have not had any issues with rain but even with the mist that was around, we stayed dry inside. When it came to taking this down, just as easy to take down as it is to put up. Plus the carrying bag really does hold this tent and everything inside without tearing or ripping."
Ronny Acosta,"First, when this came in, I decided to take pictures of what it looks like coming out of the box. Reason for this is the way it was delivered, everything was not only protected but when it came to putting this together, it was really easy. It didn't look sturdy at all when I took this frame out of the box but once it's all put together, not only is it sturdy but it really holds up very well. I bought this for a spare bedroom and we have a full sized bed. Not only does this frame fit our mattress but we were able to get rid of the box spring that came with it. The storage underneath is so much more than what we had before. We were able to put extra sheets and blankets in a bag and store them underneath which cleared out a lot of room in the closet. Even with all of that, we still have more than enough room to store anything else we want to. Even when you sleep on this, you don't feel any of the bars that go across the frame. Whether you're getting on, getting off or just moving around on the bed, no squeaking and the frame doesn't move around like it's going to fall apart. The feet on the this bed frame has not once scratched our wooden floors either. We're able to move this bed around, so we can vacuum underneath and while it can be move around on our floors, it doesn't scratch them up. This bed frame not only offers full support but love the amount of storage it allows us to have underneath. When it comes to putting this bed together, I ended up using my own tools because it was a lot easier. The instructions it came with were kind of basic but separating the parts and doing the base of the frame first really helps. Not to mention, having someone else to help hold things also helps."
Outdoor Enthusiast,"Fits my 1.5 year old daughter well and the bright, blue color is very pleasant to look at. Has a mesh lining inside to promote air flow by keeping the solid textile off the head. Lanyard to keep hat from being blown away by a strong gust of wind."
Outdoor Enthusiast,"Fits my 5-year-old son well. Lenses are polarized and can also be verified with the included test patch. Nice surprise: Included a keychain screwdriver (flat head and Phillips) to help fix sunglasses/eyeglasses. A lot cheaper than Oakleys... if he loses them, I won't cry over them."
Outdoor Enthusiast,"Fits my mountain bike's crank arm well. Folding ability saves a little bit of vertical space for packing into the car's trunk and also saves some storage in the garage as well. I wish the pedal was a bit wider for more comfortable, efficient riding, but for mountain biking, it is a suitable size."
Outdoor Enthusiast,"Fits the Costway/Stakol EP24413/24413-CYPE car freezer perfectly. In testing with my Goal Zero battery inside the house and the same thermostat setting, it drew less power with the insulation than without. The battery went from 100% to 83% with the insulation, and 100% to 76% without over the same time period. The difference should be even more significant during hotter days."
Outdoor Enthusiast,"For years, we had noticed occasional damage here and there to our clothes, especially sweaters. Wife told me it was likely from moths. We did not want to use moth balls as they have health risks associated with them. Finally grabbed some cedar blocks and so far (for the past 4 weeks) we have not discovered any additional damage. Seems to have fixed our moth issue."
Ronny Acosta,"From being on my feet at work for years, it's starting to take a toll on my feet and these heel protectors gave me immediate relief. I didn't think they were going to work that fast but as soon as I put them on and then my shoes, I didn't have that slight pain I usually start off with. The protector itself is fully adjustable so if my feet are a little swollen, I'm still able to wear these without any issues of them being too tight. With that being said, these are very stretchy and comfortable to wear. Even with being on my feet for 10-12 hours at a time, these heel protectors not only continue to work but don't leave those uncomfortable marks either. These can get a little stinky from being worn for so long but these are fully washable. I just let them soak in the sink for a bit and once washed, they can be left out to air dry. I air dry these rather than put them in the dryer. Overall, great quality and love the relief that I get from these."
Ronny Acosta,"From what I counted in my closet, the most items I have in 1 of these bags is between 6-8 cardigans. While they are thin sweaters, I was able to fit that many in just 1 garment bag. In another bag, I was able to fit about 5 of my daughter's dresses and still have room for more in that same bag. The quality of these bags is a lot better than what I thought I was going to be getting. The bags themselves are made of a thick plastic and even with pushing all of these hangers through, they don't tear easily at the opening of the bags. When it comes to zipping these bags up, once they are zipped up, the zipper doesn't move or even start to fall, even with the bags fully loaded with clothes. I have been using and moving these bags around my closet for over a month now and not only are they holding up but they are still in great condition. No tearing or ripping and they are still protecting the clothes that I have inside of these bags."
Outdoor Enthusiast,"Good chopping boards are sometimes difficult to find unless you are willing to spend tons of cash. I ordered this set with expectation that it might not last long. So far, I was proven wrong -- it is sturdier than I expected. Let's see how long it will last before it splits."
Outdoor Enthusiast,"Got these for my vacation home in the mountains where snow can make the driveway hard to see. I would hate to crash into the shallow brick wall. Lights do not help because they would be covered by snow. So, markers are the solution. They also help us guide the driver on where to go. We sometimes also use them to mark off areas we don't want people to step on when reseeding grass."
Outdoor Enthusiast,"Hook up to one of the TV's USB ports, set the color or color cycling modes you want, and it'll stay like that in memory. It lights up when the TV turns on, and powers off when the TV shuts down. App is available to control ambiance with, but I never tried it -- would rather not install due to possible invasion of privacy/data theft. I set the color to a light blue and haven't changed it since. Pieces of the strip can be cut as needed without breaking the entire light. You can also splice them back together with LED strip connectors (not included)."
Outdoor Enthusiast,"Hung these up for my parents' sliding doors by the kitchen to block some of the sunlight without obscuring visibility into the backyard. This is so they can enjoy seeing the outdoors still while also keeping an eye out on the grandchildren playing outside. This does NOT block the sun entirely, and so expect some heat to enter the home. It also will not entirely keep you private against spying eyes. You do get some privacy during the daytime, but once the lights inside are turned on at night, somebody outside can see you. Combat that with a bright motion sensing light outside to alert you when somebody's nearby."
Outdoor Enthusiast,"I absolutely love Chinese BBQ skewers and the recipe couldn't be simpler:  Marinade cubes of lamb, beef, or chicken in cubed, red onions, oil, and a whole egg (yes, egg!) for 1 hour. Skewer the meats. Sprinkle ground cumin and chili powder (I like Cayenne pepper) over the skewer while cooking over charcoal. Keep turning the skewers until done. Salt as needed to add an additional kick of flavor. Delicious! Works especially well with lamb."
Ronny Acosta,"I already don't have much space in my closet but with these hanger organizers, it creates so much more space. I do suggest that you make sure that before putting hangers in these that you make sure those clothes won't be touching the ground. I noticed that depending on what I was hanging, I did have to either leave the last couple of holes open or I put something different inside. I don't really hang the other side but rather hold it up to see what I want to wear. However, in some areas I am able to hang the other side. These really do come in handy and allow me to have so much more space in my closet that I normally didn't have to. I've been able to use plastic, wire and wooden hangers with these hanger organizers and no matter the type of hanger, I was able to hang them in this hanger organizer. Really does create the space that I never had before."
